Year;Club;Total_Prize
2015;Team Vitality;120000
2016;Team Vitality;450000
2017;Team Vitality;820000
2018;Team Vitality;1500000
2019;Team Vitality;2100000
2020;Team Vitality;1800000
2021;Team Vitality;2400000
2022;Team Vitality;3200000
2023;Team Vitality;4100000
2024;Team Vitality;3800000
2025;Team Vitality;4500000
2020;Karmine Corp;600000
2021;Karmine Corp;1200000
2022;Karmine Corp;2500000
2023;Karmine Corp;2900000
2024;Karmine Corp;3100000
2025;Karmine Corp;3400000
2015;Solary;50000
2016;Solary;90000
2017;Solary;120000
2018;Solary;180000
2019;Solary;250000
2020;Solary;300000
2021;Solary;350000
2022;Solary;400000
2023;Solary;420000
2024;Solary;450000
2025;Solary;480000
2016;Team BDS;100000
2017;Team BDS;200000
2018;Team BDS;500000
2019;Team BDS;900000
2020;Team BDS;1300000
2021;Team BDS;2000000
2022;Team BDS;2800000
2023;Team BDS;3500000
2024;Team BDS;3700000
2025;Team BDS;3900000
