Team;Year;PrizeMoney
Karmine Corp;2020;40000
Karmine Corp;2021;155000
Karmine Corp;2022;326000
Karmine Corp;2023;598000
Karmine Corp;2024;993000
Karmine Corp;2025;1378000
Gentle Mates;2023;201000
Gentle Mates;2024;519000
Gentle Mates;2025;2462000
Solary;2017;4000
Solary;2018;422000
Solary;2019;768000
Solary;2020;170000
Solary;2021;418000
Solary;2022;149000
Solary;2023;149000
Solary;2024;86000
Solary;2025;233000
Team Vitality;2016;85000
Team Vitality;2017;102000
Team Vitality;2018;352000
Team Vitality;2019;784000
Team Vitality;2020;1142000
Team Vitality;2021;1489000
Team Vitality;2022;1987000
Team Vitality;2023;2453000
Team Vitality;2024;2941000
Team Vitality;2025;3900000
