Team;Year;GamesActive;TournamentsPlayed
Gentle Mates;2023;3;78
Gentle Mates;2024;6;143
Gentle Mates;2025;8;408
Karmine Corp;2020;2;18
Karmine Corp;2021;3;50
Karmine Corp;2022;4;55
Karmine Corp;2023;5;50
Karmine Corp;2024;5;207
Karmine Corp;2025;4;73
Solary;2017;1;4
Solary;2018;1;14
Solary;2019;2;36
Solary;2020;3;76
Solary;2021;3;51
Solary;2022;3;37
Solary;2023;5;215
Solary;2024;5;169
Solary;2025;7;364
Team Vitality;2016;2;3
Team Vitality;2017;2;3
Team Vitality;2018;5;32
Team Vitality;2019;7;75
Team Vitality;2020;9;92
Team Vitality;2021;12;187
Team Vitality;2022;13;210
Team Vitality;2023;15;278
Team Vitality;2024;19;401
Team Vitality;2025;19;405
