Team;Year;GamesActive;TournamentsPlayed;PrizeMoney
Gentle Mates;2023;3;78;201000
Gentle Mates;2024;6;143;519000
Gentle Mates;2025;8;408;2462000
Karmine Corp;2020;2;18;40000
Karmine Corp;2021;3;50;155000
Karmine Corp;2022;4;55;326000
Karmine Corp;2023;5;50;598000
Karmine Corp;2024;5;207;993000
Karmine Corp;2025;4;73;1378000
Solary;2017;1;4;4000
Solary;2018;1;14;422000
Solary;2019;2;36;768000
Solary;2020;3;76;170000
Solary;2021;3;51;418000
Solary;2022;3;37;149000
Solary;2023;5;215;149000
Solary;2024;5;169;86000
Solary;2025;7;364;233000
Team Vitality;2016;2;3;85000
Team Vitality;2017;2;3;102000
Team Vitality;2018;5;32;352000
Team Vitality;2019;7;75;784000
Team Vitality;2020;9;92;1142000
Team Vitality;2021;12;187;1489000
Team Vitality;2022;13;210;1987000
Team Vitality;2023;15;278;2453000
Team Vitality;2024;19;401;2941000
Team Vitality;2025;19;405;3900000
